fm,to,fm_i,to_i,graph_no
6_72_0,6_72_2,0,2,6_72
6_72_0,6_72_3,0,3,6_72
6_72_0,6_72_4,0,4,6_72
6_72_0,6_72_5,0,5,6_72
6_72_1,6_72_2,1,2,6_72
6_72_1,6_72_3,1,3,6_72
6_72_1,6_72_4,1,4,6_72
6_72_1,6_72_5,1,5,6_72
6_72_2,6_72_3,2,3,6_72
6_72_2,6_72_4,2,4,6_72
6_73_0,6_73_3,0,3,6_73
6_73_0,6_73_4,0,4,6_73
6_73_0,6_73_5,0,5,6_73
6_73_1,6_73_3,1,3,6_73
6_73_1,6_73_4,1,4,6_73
6_73_1,6_73_5,1,5,6_73
6_73_2,6_73_3,2,3,6_73
6_73_2,6_73_4,2,4,6_73
6_73_2,6_73_5,2,5,6_73
6_74_0,6_74_1,0,1,6_74
6_74_0,6_74_3,0,3,6_74
6_74_0,6_74_4,0,4,6_74
6_74_0,6_74_5,0,5,6_74
6_74_1,6_74_3,1,3,6_74
6_74_1,6_74_4,1,4,6_74
6_74_1,6_74_5,1,5,6_74
6_74_2,6_74_3,2,3,6_74
6_74_2,6_74_4,2,4,6_74
6_74_2,6_74_5,2,5,6_74
6_75_0,6_75_1,0,1,6_75
6_75_0,6_75_2,0,2,6_75
6_75_0,6_75_3,0,3,6_75
6_75_0,6_75_4,0,4,6_75
6_75_0,6_75_5,0,5,6_75
6_75_1,6_75_3,1,3,6_75
6_75_1,6_75_4,1,4,6_75
6_75_1,6_75_5,1,5,6_75
6_75_2,6_75_3,2,3,6_75
6_75_2,6_75_4,2,4,6_75
6_75_2,6_75_5,2,5,6_75
6_76_0,6_76_1,0,1,6_76
6_76_0,6_76_2,0,2,6_76
6_76_0,6_76_3,0,3,6_76
6_76_0,6_76_4,0,4,6_76
6_76_0,6_76_5,0,5,6_76
6_76_1,6_76_2,1,2,6_76
6_76_1,6_76_3,1,3,6_76
6_76_1,6_76_4,1,4,6_76
6_76_1,6_76_5,1,5,6_76
6_76_2,6_76_3,2,3,6_76
6_76_2,6_76_4,2,4,6_76
6_76_2,6_76_5,2,5,6_76
6_77_0,6_77_1,0,1,6_77
6_77_0,6_77_5,0,5,6_77
6_77_1,6_77_2,1,2,6_77
6_77_1,6_77_3,1,3,6_77
6_77_1,6_77_4,1,4,6_77
6_77_2,6_77_3,2,3,6_77
6_77_2,6_77_4,2,4,6_77
6_77_3,6_77_4,3,4,6_77
6_78_0,6_78_1,0,1,6_78
6_78_0,6_78_2,0,2,6_78
6_78_0,6_78_5,0,5,6_78
6_78_1,6_78_2,1,2,6_78
6_78_1,6_78_3,1,3,6_78
6_78_1,6_78_4,1,4,6_78
6_78_2,6_78_3,2,3,6_78
6_78_2,6_78_4,2,4,6_78
6_78_3,6_78_4,3,4,6_78
6_79_0,6_79_1,0,1,6_79
6_79_0,6_79_2,0,2,6_79
6_79_0,6_79_3,0,3,6_79
6_79_0,6_79_5,0,5,6_79
6_79_1,6_79_2,1,2,6_79
6_79_1,6_79_3,1,3,6_79
6_79_1,6_79_4,1,4,6_79
6_79_2,6_79_3,2,3,6_79
6_79_2,6_79_4,2,4,6_79
6_79_3,6_79_4,3,4,6_79
6_80_0,6_80_1,0,1,6_80
6_80_0,6_80_2,0,2,6_80
6_80_0,6_80_3,0,3,6_80
6_80_0,6_80_4,0,4,6_80
6_80_0,6_80_5,0,5,6_80
6_80_1,6_80_2,1,2,6_80
6_80_1,6_80_3,1,3,6_80
6_80_1,6_80_4,1,4,6_80
6_80_2,6_80_3,2,3,6_80
6_80_2,6_80_4,2,4,6_80
6_80_3,6_80_4,3,4,6_80
6_81_0,6_81_1,0,1,6_81
6_81_0,6_81_2,0,2,6_81
6_81_0,6_81_5,0,5,6_81
6_81_1,6_81_5,1,5,6_81
6_81_2,6_81_3,2,3,6_81
6_81_2,6_81_4,2,4,6_81
6_81_3,6_81_4,3,4,6_81
6_82_0,6_82_1,0,1,6_82
6_82_0,6_82_2,0,2,6_82
6_82_0,6_82_3,0,3,6_82
6_82_0,6_82_5,0,5,6_82
6_82_1,6_82_5,1,5,6_82
6_82_2,6_82_3,2,3,6_82
6_82_2,6_82_4,2,4,6_82
6_82_3,6_82_4,3,4,6_82
6_83_0,6_83_1,0,1,6_83
6_83_0,6_83_2,0,2,6_83
6_83_0,6_83_3,0,3,6_83
6_83_0,6_83_4,0,4,6_83
6_83_0,6_83_5,0,5,6_83
6_83_1,6_83_5,1,5,6_83
6_83_2,6_83_3,2,3,6_83
6_83_2,6_83_4,2,4,6_83
6_83_3,6_83_4,3,4,6_83
6_84_0,6_84_1,0,1,6_84
6_84_0,6_84_3,0,3,6_84
6_84_0,6_84_5,0,5,6_84
6_84_1,6_84_2,1,2,6_84
6_84_1,6_84_5,1,5,6_84
6_84_2,6_84_3,2,3,6_84
6_84_2,6_84_4,2,4,6_84
6_84_3,6_84_4,3,4,6_84
6_85_0,6_85_1,0,1,6_85
6_85_0,6_85_2,0,2,6_85
6_85_0,6_85_3,0,3,6_85
6_85_0,6_85_5,0,5,6_85
6_85_1,6_85_2,1,2,6_85
6_85_1,6_85_5,1,5,6_85
6_85_2,6_85_3,2,3,6_85
6_85_2,6_85_4,2,4,6_85
6_85_3,6_85_4,3,4,6_85
6_86_0,6_86_3,0,3,6_86
6_86_0,6_86_4,0,4,6_86
6_86_0,6_86_5,0,5,6_86
6_86_1,6_86_2,1,2,6_86
6_86_1,6_86_5,1,5,6_86
6_86_2,6_86_3,2,3,6_86
6_86_2,6_86_4,2,4,6_86
6_86_3,6_86_4,3,4,6_86
6_87_0,6_87_1,0,1,6_87
6_87_0,6_87_3,0,3,6_87
6_87_0,6_87_4,0,4,6_87
6_87_0,6_87_5,0,5,6_87
6_87_1,6_87_2,1,2,6_87
6_87_1,6_87_5,1,5,6_87
6_87_2,6_87_3,2,3,6_87
6_87_2,6_87_4,2,4,6_87
6_87_3,6_87_4,3,4,6_87
6_88_0,6_88_2,0,2,6_88
6_88_0,6_88_3,0,3,6_88
6_88_0,6_88_4,0,4,6_88
6_88_0,6_88_5,0,5,6_88
6_88_1,6_88_2,1,2,6_88
6_88_1,6_88_5,1,5,6_88
6_88_2,6_88_3,2,3,6_88
6_88_2,6_88_4,2,4,6_88
6_88_3,6_88_4,3,4,6_88
6_89_0,6_89_1,0,1,6_89
6_89_0,6_89_2,0,2,6_89
6_89_0,6_89_3,0,3,6_89
6_89_0,6_89_4,0,4,6_89
6_89_0,6_89_5,0,5,6_89
6_89_1,6_89_2,1,2,6_89
6_89_1,6_89_5,1,5,6_89
6_89_2,6_89_3,2,3,6_89
6_89_2,6_89_4,2,4,6_89
6_89_3,6_89_4,3,4,6_89
6_90_0,6_90_1,0,1,6_90
6_90_0,6_90_2,0,2,6_90
6_90_0,6_90_3,0,3,6_90
6_90_0,6_90_5,0,5,6_90
6_90_1,6_90_2,1,2,6_90
6_90_1,6_90_3,1,3,6_90
6_90_1,6_90_5,1,5,6_90
6_90_2,6_90_3,2,3,6_90
6_90_2,6_90_4,2,4,6_90
6_90_3,6_90_4,3,4,6_90
6_91_0,6_91_2,0,2,6_91
6_91_0,6_91_4,0,4,6_91
6_91_0,6_91_5,0,5,6_91
6_91_1,6_91_2,1,2,6_91
6_91_1,6_91_3,1,3,6_91
6_91_1,6_91_5,1,5,6_91
6_91_2,6_91_3,2,3,6_91
6_91_2,6_91_4,2,4,6_91
6_91_3,6_91_4,3,4,6_91
6_92_0,6_92_1,0,1,6_92
6_92_0,6_92_2,0,2,6_92
6_92_0,6_92_4,0,4,6_92
6_92_0,6_92_5,0,5,6_92
6_92_1,6_92_2,1,2,6_92
6_92_1,6_92_3,1,3,6_92
6_92_1,6_92_5,1,5,6_92
6_92_2,6_92_3,2,3,6_92
6_92_2,6_92_4,2,4,6_92
6_92_3,6_92_4,3,4,6_92
6_93_0,6_93_2,0,2,6_93
6_93_0,6_93_3,0,3,6_93
6_93_0,6_93_4,0,4,6_93
6_93_0,6_93_5,0,5,6_93
6_93_1,6_93_2,1,2,6_93
6_93_1,6_93_3,1,3,6_93
6_93_1,6_93_5,1,5,6_93
6_93_2,6_93_3,2,3,6_93
6_93_2,6_93_4,2,4,6_93
6_93_3,6_93_4,3,4,6_93
6_94_0,6_94_1,0,1,6_94
6_94_0,6_94_2,0,2,6_94
6_94_0,6_94_3,0,3,6_94
6_94_0,6_94_4,0,4,6_94
6_94_0,6_94_5,0,5,6_94
6_94_1,6_94_2,1,2,6_94
6_94_1,6_94_3,1,3,6_94
6_94_1,6_94_5,1,5,6_94
6_94_2,6_94_3,2,3,6_94
6_94_2,6_94_4,2,4,6_94
6_94_3,6_94_4,3,4,6_94
6_95_0,6_95_2,0,2,6_95
6_95_0,6_95_3,0,3,6_95
6_95_0,6_95_4,0,4,6_95
6_95_0,6_95_5,0,5,6_95
6_95_1,6_95_2,1,2,6_95
6_95_1,6_95_3,1,3,6_95
6_95_1,6_95_4,1,4,6_95
6_95_1,6_95_5,1,5,6_95
6_95_2,6_95_3,2,3,6_95
6_95_2,6_95_4,2,4,6_95
6_95_3,6_95_4,3,4,6_95
6_96_0,6_96_1,0,1,6_96
6_96_0,6_96_2,0,2,6_96
6_96_0,6_96_3,0,3,6_96
6_96_0,6_96_4,0,4,6_96
6_96_0,6_96_5,0,5,6_96
6_96_1,6_96_2,1,2,6_96
6_96_1,6_96_3,1,3,6_96
6_96_1,6_96_4,1,4,6_96
6_96_1,6_96_5,1,5,6_96
6_96_2,6_96_3,2,3,6_96
6_96_2,6_96_4,2,4,6_96
6_96_3,6_96_4,3,4,6_96
6_97_0,6_97_2,0,2,6_97
6_97_0,6_97_3,0,3,6_97
6_97_0,6_97_4,0,4,6_97
6_97_0,6_97_5,0,5,6_97
6_97_1,6_97_2,1,2,6_97
6_97_1,6_97_3,1,3,6_97
6_97_1,6_97_4,1,4,6_97
6_97_1,6_97_5,1,5,6_97
6_97_2,6_97_5,2,5,6_97
6_97_3,6_97_4,3,4,6_97
6_98_0,6_98_1,0,1,6_98
6_98_0,6_98_2,0,2,6_98
6_98_0,6_98_3,0,3,6_98
6_98_0,6_98_4,0,4,6_98
6_98_0,6_98_5,0,5,6_98
6_98_1,6_98_2,1,2,6_98
6_98_1,6_98_3,1,3,6_98
6_98_1,6_98_4,1,4,6_98
6_98_1,6_98_5,1,5,6_98
6_98_2,6_98_5,2,5,6_98
6_98_3,6_98_4,3,4,6_98
6_99_0,6_99_1,0,1,6_99
6_99_0,6_99_2,0,2,6_99
6_99_0,6_99_3,0,3,6_99
6_99_0,6_99_4,0,4,6_99
6_99_0,6_99_5,0,5,6_99
6_99_1,6_99_4,1,4,6_99
6_99_1,6_99_5,1,5,6_99
6_99_2,6_99_3,2,3,6_99
6_99_2,6_99_5,2,5,6_99
6_99_3,6_99_4,3,4,6_99
6_100_0,6_100_3,0,3,6_100
6_100_0,6_100_4,0,4,6_100
6_100_0,6_100_5,0,5,6_100
6_100_1,6_100_2,1,2,6_100
6_100_1,6_100_4,1,4,6_100
6_100_1,6_100_5,1,5,6_100
6_100_2,6_100_3,2,3,6_100
6_100_2,6_100_5,2,5,6_100
6_100_3,6_100_4,3,4,6_100
6_101_0,6_101_1,0,1,6_101
6_101_0,6_101_3,0,3,6_101
6_101_0,6_101_4,0,4,6_101
6_101_0,6_101_5,0,5,6_101
6_101_1,6_101_2,1,2,6_101
6_101_1,6_101_4,1,4,6_101
6_101_1,6_101_5,1,5,6_101
6_101_2,6_101_3,2,3,6_101
6_101_2,6_101_5,2,5,6_101
6_101_3,6_101_4,3,4,6_101
6_102_0,6_102_1,0,1,6_102
6_102_0,6_102_2,0,2,6_102
6_102_0,6_102_3,0,3,6_102
6_102_0,6_102_4,0,4,6_102
6_102_0,6_102_5,0,5,6_102
6_102_1,6_102_2,1,2,6_102
6_102_1,6_102_4,1,4,6_102
6_102_1,6_102_5,1,5,6_102
6_102_2,6_102_3,2,3,6_102
6_102_2,6_102_5,2,5,6_102
6_102_3,6_102_4,3,4,6_102
6_103_0,6_103_2,0,2,6_103
6_103_0,6_103_3,0,3,6_103
6_103_0,6_103_4,0,4,6_103
6_103_0,6_103_5,0,5,6_103
6_103_1,6_103_2,1,2,6_103
6_103_1,6_103_3,1,3,6_103
6_103_1,6_103_4,1,4,6_103
6_103_1,6_103_5,1,5,6_103
6_103_2,6_103_3,2,3,6_103
6_103_2,6_103_5,2,5,6_103
6_103_3,6_103_4,3,4,6_103
6_104_0,6_104_1,0,1,6_104
6_104_0,6_104_2,0,2,6_104
6_104_0,6_104_3,0,3,6_104
6_104_0,6_104_4,0,4,6_104
6_104_0,6_104_5,0,5,6_104
6_104_1,6_104_2,1,2,6_104
6_104_1,6_104_3,1,3,6_104
6_104_1,6_104_4,1,4,6_104
6_104_1,6_104_5,1,5,6_104
6_104_2,6_104_3,2,3,6_104
6_104_2,6_104_5,2,5,6_104
6_104_3,6_104_4,3,4,6_104
6_105_0,6_105_1,0,1,6_105
6_105_0,6_105_3,0,3,6_105
6_105_0,6_105_4,0,4,6_105
6_105_0,6_105_5,0,5,6_105
6_105_1,6_105_3,1,3,6_105
6_105_1,6_105_4,1,4,6_105
6_105_1,6_105_5,1,5,6_105
6_105_2,6_105_3,2,3,6_105
6_105_2,6_105_4,2,4,6_105
6_105_2,6_105_5,2,5,6_105
6_105_3,6_105_4,3,4,6_105
6_106_0,6_106_1,0,1,6_106
6_106_0,6_106_2,0,2,6_106
6_106_0,6_106_3,0,3,6_106
6_106_0,6_106_4,0,4,6_106
6_106_0,6_106_5,0,5,6_106
6_106_1,6_106_3,1,3,6_106
6_106_1,6_106_4,1,4,6_106
6_106_1,6_106_5,1,5,6_106
6_106_2,6_106_3,2,3,6_106
6_106_2,6_106_4,2,4,6_106
6_106_2,6_106_5,2,5,6_106
6_106_3,6_106_4,3,4,6_106
6_107_0,6_107_1,0,1,6_107
6_107_0,6_107_2,0,2,6_107
6_107_0,6_107_3,0,3,6_107
6_107_0,6_107_4,0,4,6_107
6_107_0,6_107_5,0,5,6_107
6_107_1,6_107_2,1,2,6_107
6_107_1,6_107_3,1,3,6_107
6_107_1,6_107_4,1,4,6_107
6_107_1,6_107_5,1,5,6_107
6_107_2,6_107_3,2,3,6_107
6_107_2,6_107_4,2,4,6_107
6_107_2,6_107_5,2,5,6_107
6_107_3,6_107_4,3,4,6_107
6_108_0,6_108_2,0,2,6_108
6_108_0,6_108_3,0,3,6_108
6_108_0,6_108_4,0,4,6_108
6_108_0,6_108_5,0,5,6_108
6_108_1,6_108_2,1,2,6_108
6_108_1,6_108_3,1,3,6_108
6_108_1,6_108_4,1,4,6_108
6_108_1,6_108_5,1,5,6_108
6_108_2,6_108_4,2,4,6_108
6_108_2,6_108_5,2,5,6_108
6_108_3,6_108_4,3,4,6_108
6_108_3,6_108_5,3,5,6_108
6_109_0,6_109_1,0,1,6_109
6_109_0,6_109_2,0,2,6_109
6_109_0,6_109_3,0,3,6_109
6_109_0,6_109_4,0,4,6_109
6_109_0,6_109_5,0,5,6_109
6_109_1,6_109_2,1,2,6_109
6_109_1,6_109_3,1,3,6_109
6_109_1,6_109_4,1,4,6_109
6_109_1,6_109_5,1,5,6_109
6_109_2,6_109_4,2,4,6_109
6_109_2,6_109_5,2,5,6_109
6_109_3,6_109_4,3,4,6_109
6_109_3,6_109_5,3,5,6_109
6_110_0,6_110_1,0,1,6_110
6_110_0,6_110_2,0,2,6_110
6_110_0,6_110_3,0,3,6_110
6_110_0,6_110_4,0,4,6_110
6_110_0,6_110_5,0,5,6_110
6_110_1,6_110_2,1,2,6_110
6_110_1,6_110_3,1,3,6_110
6_110_1,6_110_4,1,4,6_110
6_110_1,6_110_5,1,5,6_110
6_110_2,6_110_3,2,3,6_110
6_110_2,6_110_4,2,4,6_110
6_110_2,6_110_5,2,5,6_110
6_110_3,6_110_4,3,4,6_110
6_110_3,6_110_5,3,5,6_110
6_111_0,6_111_1,0,1,6_111
6_111_0,6_111_2,0,2,6_111
6_111_0,6_111_3,0,3,6_111
6_111_0,6_111_4,0,4,6_111
6_111_0,6_111_5,0,5,6_111
6_111_1,6_111_2,1,2,6_111
6_111_1,6_111_3,1,3,6_111
6_111_1,6_111_4,1,4,6_111
6_111_1,6_111_5,1,5,6_111
6_111_2,6_111_3,2,3,6_111
6_111_2,6_111_4,2,4,6_111
6_111_2,6_111_5,2,5,6_111
6_111_3,6_111_4,3,4,6_111
6_111_3,6_111_5,3,5,6_111
6_111_4,6_111_5,4,5,6_111
